Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1 years ,2,Life Sciences,1,Medium,Female,94,High,Junior Level,Sales Executive,Very High,Single,5993,8,Yes,11,Stanadard,Low,80,0,8 years ,Bad,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8 years ,1,Life Sciences,2,High,Male,61,Medium,Junior Level,Research Scientist,Medium,Married,5130,1,No,23,High,Very High,80,1,10 years ,Better,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2 years ,2,Other,4,Very High,Male,92,Medium,Entry Level,Laboratory Technician,High,Single,2090,6,Yes,15,Stanadard,Medium,80,0,7 years ,Better,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3 years ,4,Life Sciences,5,Very High,Female,56,High,Entry Level,Research Scientist,High,Married,2909,1,Yes,11,Stanadard,High,80,0,8 years ,Better,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2 years ,1,Medical,7,Low,Male,40,High,Entry Level,Laboratory Technician,Medium,Married,3468,9,No,12,Stanadard,Very High,80,1,6 years ,Better,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2 years ,2,Life Sciences,8,Very High,Male,79,High,Entry Level,Laboratory Technician,Very High,Single,3068,0,No,13,Stanadard,High,80,0,8 years ,Good,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3 years ,3,Medical,10,High,Female,81,Very High,Entry Level,Laboratory Technician,Low,Married,2670,4,Yes,20,High,Low,80,3,12 years ,Good,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24 years ,1,Life Sciences,11,Very High,Male,67,High,Entry Level,Laboratory Technician,High,Divorced,2693,1,No,22,High,Medium,80,1,1 years ,Better,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23 years ,3,Life Sciences,12,Very High,Male,44,Medium,Senior Level,Manufacturing Director,High,Single,9526,0,No,21,High,Medium,80,0,10 years ,Better,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27 years ,3,Medical,13,High,Male,94,High,Junior Level,Healthcare Representative,High,Married,5237,6,No,13,Stanadard,Medium,80,2,17 years ,Good,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,16 years ,3,Medical,14,Low,Male,84,Very High,Entry Level,Laboratory Technician,Medium,Married,2426,0,No,13,Stanadard,High,80,1,6 years ,Better,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15 years ,2,Life Sciences,15,Very High,Female,49,Medium,Junior Level,Laboratory Technician,High,Single,4193,0,Yes,12,Stanadard,Very High,80,0,10 years ,Better,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26 years ,1,Life Sciences,16,Low,Male,31,High,Entry Level,Research Scientist,High,Divorced,2911,1,No,17,Stanadard,Very High,80,1,5 years ,Good,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19 years ,2,Medical,18,Medium,Male,93,High,Entry Level,Laboratory Technician,Very High,Divorced,2661,0,No,11,Stanadard,High,80,1,3 years ,Better,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24 years ,3,Life Sciences,19,High,Male,50,Medium,Entry Level,Laboratory Technician,High,Single,2028,5,Yes,14,Stanadard,Medium,80,0,6 years ,Better,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21 years ,4,Life Sciences,20,Medium,Female,51,Very High,Senior Level,Manufacturing Director,Low,Divorced,9980,1,No,11,Stanadard,High,80,1,10 years ,Better,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5 years ,2,Life Sciences,21,Low,Male,80,Very High,Entry Level,Research Scientist,Medium,Divorced,3298,0,Yes,12,Stanadard,Very High,80,2,7 years ,Good,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16 years ,2,Medical,22,Very High,Male,96,Very High,Entry Level,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Stanadard,Medium,80,2,1 years ,Good,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2 years ,4,Life Sciences,23,Low,Female,78,Medium,Lead Level,Manager,Very High,Married,15427,2,No,16,Stanadard,High,80,0,31 years ,Better,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2 years ,3,Life Sciences,24,Very High,Male,45,High,Entry Level,Research Scientist,Very High,Single,3944,5,Yes,11,Stanadard,High,80,0,6 years ,Better,3,2,1,2
24,No,Non-Travel,673,Research & Development,11 years ,2,Other,26,Low,Female,96,Very High,Junior Level,Manufacturing Director,High,Divorced,4011,0,No,18,Stanadard,Very High,80,1,5 years ,Good,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9 years ,4,Life Sciences,27,High,Male,82,Medium,Entry Level,Sales Representative,Low,Single,3407,7,No,23,High,Medium,80,0,10 years ,Better,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7 years ,4,Life Sciences,28,Low,Female,53,High,Senior Level,Research Director,Medium,Single,11994,0,No,11,Stanadard,High,80,0,13 years ,Better,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15 years ,2,Life Sciences,30,High,Male,96,High,Entry Level,Research Scientist,Very High,Single,1232,1,No,14,Stanadard,Very High,80,0,0 years ,Better,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6 years ,1,Medical,31,Medium,Male,83,High,Entry Level,Research Scientist,Low,Single,2960,2,No,11,Stanadard,High,80,0,8 years ,Better,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5 years ,3,Other,32,High,Female,58,High,Director Level,Manager,High,Divorced,19094,4,No,11,Stanadard,Very High,80,1,26 years ,Good,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16 years ,1,Life Sciences,33,Medium,Female,72,Low,Entry Level,Research Scientist,Low,Single,3919,1,Yes,22,High,Medium,80,0,10 years ,Better,10,2,6,7
42,No,Travel_Rarely,691,Sales,8 years ,4,Marketing,35,High,Male,48,High,Junior Level,Sales Executive,Medium,Married,6825,0,No,11,Stanadard,Very High,80,1,10 years ,Better,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7 years ,4,Medical,36,Low,Female,42,Medium,Senior Level,Healthcare Representative,Very High,Married,10248,3,No,14,Stanadard,Very High,80,1,24 years ,Better,22,6,5,17
